Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
"""python ciw_test.py""",3.85,1.63,162%,0:03.37,0.0,0.0,0.0,0.0,68572.0,0.0,1.0,22171.0,24.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.98,1.63,160%,0:03.49,0.0,0.0,0.0,0.0,68732.0,0.0,0.0,22176.0,26.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.85,1.65,162%,0:03.38,0.0,0.0,0.0,0.0,68424.0,0.0,1.0,22175.0,47.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.85,1.67,162%,0:03.40,0.0,0.0,0.0,0.0,68648.0,0.0,0.0,22208.0,24.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.1,1.62,158%,0:03.60,0.0,0.0,0.0,0.0,68692.0,0.0,1.0,21935.0,25.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.91,1.7,160%,0:03.49,0.0,0.0,0.0,0.0,68484.0,0.0,0.0,21928.0,28.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.61,1.57,166%,0:03.10,0.0,0.0,0.0,0.0,68876.0,0.0,1.0,21208.0,30.0,22588.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.07,1.5,161%,0:03.45,0.0,0.0,0.0,0.0,68664.0,0.0,1.0,21178.0,33.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.99,1.61,160%,0:03.49,0.0,0.0,0.0,0.0,68304.0,0.0,6.0,22184.0,30.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.96,1.67,160%,0:03.52,0.0,0.0,0.0,0.0,68344.0,0.0,10.0,21185.0,37.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.65,160%,0:03.49,0.0,0.0,0.0,0.0,68464.0,0.0,0.0,21933.0,24.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.57,1.67,167%,0:03.14,0.0,0.0,0.0,0.0,68320.0,0.0,0.0,22182.0,24.0,843.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.0,1.58,160%,0:03.48,0.0,0.0,0.0,0.0,68548.0,0.0,1.0,22179.0,26.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.8,1.7,162%,0:03.38,0.0,0.0,0.0,0.0,68416.0,0.0,1.0,22171.0,28.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.59,1.69,166%,0:03.17,0.0,0.0,0.0,0.0,68316.0,0.0,1.0,21921.0,23.0,857.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.84,1.67,161%,0:03.41,0.0,0.0,0.0,0.0,68468.0,0.0,0.0,22181.0,46.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.77,1.64,164%,0:03.29,0.0,0.0,0.0,0.0,68520.0,0.0,0.0,22697.0,34.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.61,161%,0:03.45,0.0,0.0,0.0,0.0,68420.0,0.0,12.0,21934.0,35.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.93,1.69,160%,0:03.50,0.0,0.0,0.0,0.0,68404.0,0.0,12.0,22707.0,35.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.06,1.61,159%,0:03.56,0.0,0.0,0.0,0.0,68420.0,0.0,0.0,22173.0,32.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.91,1.61,162%,0:03.40,0.0,0.0,0.0,0.0,68520.0,0.0,1.0,22181.0,30.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.02,1.64,159%,0:03.54,0.0,0.0,0.0,0.0,68676.0,0.0,1.0,21936.0,23.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.97,1.61,161%,0:03.46,0.0,0.0,0.0,0.0,68324.0,0.0,0.0,22179.0,30.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.83,1.65,163%,0:03.36,0.0,0.0,0.0,0.0,68616.0,0.0,1.0,21178.0,30.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
