Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3332.0,0.0,0.0,293.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3196.0,0.0,0.0,1745.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3360.0,0.0,0.0,564.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3492.0,0.0,0.0,294.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.11,0.0,0.0,0.0,0.0,3408.0,0.0,0.0,832.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3356.0,0.0,0.0,1748.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3440.0,0.0,0.0,340.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3308.0,0.0,0.0,289.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3264.0,0.0,0.0,292.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,291.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3320.0,0.0,0.0,1751.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.11,0.0,100%,0:00.11,0.0,0.0,0.0,0.0,3280.0,0.0,0.0,1754.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3396.0,0.0,0.0,290.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3372.0,0.0,0.0,291.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.11,0.0,100%,0:00.11,0.0,0.0,0.0,0.0,3348.0,0.0,0.0,1751.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3408.0,0.0,0.0,290.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3216.0,0.0,0.0,1748.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3368.0,0.0,0.0,1754.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3240.0,0.0,0.0,1740.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3444.0,0.0,0.0,341.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3292.0,0.0,0.0,290.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
